Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Team,MP.1,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_Ast,Expected_xAG,Expected_xA,Expected_A-xAG,Expected_KP,Expected_1/3,Expected_PPA,Expected_CrsPA,Expected_PrgP
Rodri,es ESP,MF,27.0,34.0,34,2931.0,32.6,8.0,9.0,17.0,8.0,0.0,0.0,8.0,1.0,4.1,4.1,3.9,8.0,76.0,376.0,55.0,0.25,0.28,0.52,0.25,0.52,0.12,0.12,0.24,0.12,0.24,Matches,Manchester City,,,,,,,,,,,,,,,,,8.0,62.0,22.0,35.5,1.9,0.68,0.13,0.36,20.6,0.0,0.0,0.0,4.1,4.1,0.07,3.9,3.9,3365,3656,92.0,57256,15766,1676,1774,94.5,1273,1360,93.6,340,401,84.8,9,3.9,6.1,+5.1,49,378,61,0,376
Phil Foden,eng ENG,"FW,MF",23.0,35.0,33,2857.0,31.7,19.0,8.0,27.0,19.0,0.0,0.0,2.0,0.0,10.3,10.3,8.4,18.7,93.0,168.0,269.0,0.6,0.25,0.85,0.6,0.85,0.33,0.26,0.59,0.33,0.59,Matches,Manchester City,,,,,,,,,,,,,,,,,19.0,105.0,48.0,45.7,3.31,1.51,0.18,0.4,18.5,4.0,0.0,0.0,10.3,10.3,0.1,8.7,8.7,1511,1767,85.5,20347,3769,990,1053,94.0,388,449,86.4,68,135,50.4,8,8.4,6.9,-0.4,73,71,57,5,168
Ederson,br BRA,GK,29.0,33.0,33,2785.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,,27.0,0.87,82.0,56.0,70.7,24.0,6.0,3.0,10.0,30.3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1077,1234,87.3,25898,17578,275,276,99.6,560,570,98.2,239,381,62.7,0,0.1,0.1,-0.1,1,25,1,0,4
Julián Álvarez,ar ARG,"MF,FW",23.0,36.0,31,2647.0,29.4,11.0,8.0,19.0,9.0,2.0,2.0,2.0,0.0,13.0,11.5,6.4,17.9,64.0,103.0,180.0,0.37,0.27,0.65,0.31,0.58,0.44,0.22,0.66,0.39,0.61,Matches,Manchester City,,,,,,,,,,,,,,,,,11.0,96.0,37.0,38.5,3.26,1.26,0.09,0.24,17.8,13.0,2.0,2.0,13.0,11.5,0.12,-2.0,-2.5,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40.0,8,6.4,6.3,+1.6,67,43,41,4,103
Kyle Walker,eng ENG,DF,33.0,32.0,30,2767.0,30.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.6,3.0,74.0,157.0,172.0,0.0,0.13,0.13,0.0,0.13,0.01,0.09,0.1,0.01,0.1,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,16.0,3.0,18.8,0.52,0.1,0.0,0.0,29.4,1.0,0.0,0.0,0.4,0.4,0.02,-0.4,-0.4,2128,2404,88.5,36091,8306,992,1057,93.9,932,1020,91.4,166,246,67.5,4,2.6,3.2,+1.4,25,199,32,13,157
Bernardo Silva,pt POR,"MF,FW",28.0,33.0,29,2578.0,28.6,6.0,9.0,15.0,6.0,0.0,0.0,8.0,0.0,3.7,3.7,7.6,11.3,140.0,177.0,260.0,0.21,0.31,0.52,0.21,0.52,0.13,0.27,0.4,0.13,0.4,Matches,Manchester City,,,,,,,,,,,,,,,,,6.0,34.0,15.0,44.1,1.19,0.52,0.18,0.4,15.9,0.0,0.0,0.0,3.7,3.7,0.11,2.3,2.3,1671,1936,86.3,25138,5246,993,1052,94.4,534,620,86.1,106,158,67.1,9,7.6,8.0,+1.4,64,100,49,10,177
Erling Haaland,no NOR,FW,23.0,31.0,29,2552.0,28.4,27.0,5.0,32.0,20.0,7.0,8.0,1.0,0.0,29.2,22.9,4.3,27.2,35.0,26.0,126.0,0.95,0.18,1.13,0.71,0.88,1.03,0.15,1.18,0.81,0.96,Matches,Manchester City,,,,,,,,,,,,,,,,,27.0,113.0,50.0,44.2,3.99,1.76,0.18,0.4,11.9,1.0,7.0,8.0,29.2,22.9,0.2,-2.2,-2.9,295,388,76.0,3234,567,197,242,81.4,56,70,80.0,5,8,62.5,5,4.3,2.2,+0.7,29,16,11,0,26
Rúben Dias,pt POR,DF,26.0,30.0,28,2559.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.3,1.7,34.0,173.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,20.0,8.0,40.0,0.7,0.28,0.0,0.0,15.2,0.0,0.0,0.0,1.4,1.4,0.07,-1.4,-1.4,2469,2635,93.7,42764,13568,1039,1076,96.6,1256,1306,96.2,146,204,71.6,0,0.3,1.9,-0.3,7,220,12,3,173
Manuel Akanji,ch SUI,"DF,MF",28.0,30.0,28,2511.0,27.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,1.9,1.9,0.5,2.4,46.0,148.0,36.0,0.07,0.0,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,Matches,Manchester City,,,,,,,,,,,,,,,,,2.0,15.0,5.0,33.3,0.54,0.18,0.13,0.4,17.0,0.0,0.0,0.0,1.9,1.9,0.13,0.1,0.1,2180,2334,93.4,35688,9787,1091,1136,96.0,923,975,94.7,126,163,77.3,0,0.5,1.8,-0.5,13,214,15,2,148
Joško Gvardiol,hr CRO,DF,21.0,28.0,26,2328.0,25.9,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,3.1,3.1,1.4,4.5,63.0,136.0,115.0,0.15,0.04,0.19,0.15,0.19,0.12,0.06,0.18,0.12,0.18,Matches,Manchester City,,,,,,,,,,,,,,,,,4.0,32.0,13.0,40.6,1.24,0.5,0.13,0.31,15.6,0.0,0.0,0.0,3.1,3.1,0.1,0.9,0.9,1671,1919,87.1,25207,6169,931,1010,92.2,618,695,88.9,77,107,72.0,1,1.4,2.1,-0.4,18,141,16,3,136
Nathan Aké,nl NED,DF,28.0,29.0,24,2042.0,22.7,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,1.2,3.7,24.0,116.0,18.0,0.09,0.09,0.18,0.09,0.18,0.11,0.05,0.16,0.11,0.16,Matches,Manchester City,,,,,,,,,,,,,,,,,2.0,20.0,5.0,25.0,0.88,0.22,0.1,0.4,10.8,0.0,0.0,0.0,2.5,2.5,0.12,-0.5,-0.5,1716,1864,92.1,26189,8717,882,921,95.8,750,796,94.2,43,85,50.6,2,1.2,1.1,+0.8,10,148,5,1,116
Jeremy Doku,be BEL,"FW,MF",21.0,29.0,18,1595.0,17.7,3.0,8.0,11.0,3.0,0.0,0.0,3.0,0.0,2.5,2.5,4.6,7.1,218.0,57.0,295.0,0.17,0.45,0.62,0.17,0.62,0.14,0.26,0.4,0.14,0.4,Matches,Manchester City,,,,,,,,,,,,,,,,,3.0,55.0,19.0,34.5,3.1,1.07,0.05,0.16,16.4,0.0,0.0,0.0,2.5,2.5,0.05,0.5,0.5,693,852,81.3,9699,1538,452,507,89.2,198,254,78.0,26,33,78.8,8,4.6,5.9,+3.4,45,14,40,7,57
Mateo Kovačić,hr CRO,MF,29.0,30.0,16,1551.0,17.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.6,2.9,37.0,100.0,38.0,0.06,0.0,0.06,0.06,0.06,0.07,0.09,0.17,0.07,0.17,Matches,Manchester City,,,,,,,,,,,,,,,,,1.0,22.0,5.0,22.7,1.28,0.29,0.05,0.2,20.8,0.0,0.0,0.0,1.3,1.3,0.06,-0.3,-0.3,1435,1527,94.0,20506,4603,835,862,96.9,514,544,94.5,41,57,71.9,0,1.6,1.9,-1.6,21,120,15,0,100
Kevin De Bruyne,be BEL,MF,32.0,18.0,15,1221.0,13.6,4.0,10.0,14.0,4.0,0.0,0.0,2.0,0.0,2.4,2.4,11.5,14.0,47.0,111.0,133.0,0.29,0.74,1.03,0.29,1.03,0.18,0.85,1.03,0.18,1.03,Matches,Manchester City,,,,,,,,,,,,,,,,,4.0,44.0,17.0,38.6,3.24,1.25,0.09,0.24,21.4,6.0,0.0,0.0,2.4,2.4,0.05,1.6,1.6,732,971,75.4,11555,3364,426,481,88.6,223,293,76.1,66,134,49.3,10,11.5,7.1,-1.5,59,67,56,12,111
John Stones,eng ENG,"DF,MF",29.0,16.0,12,1064.0,11.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.3,16.0,57.0,24.0,0.08,0.0,0.08,0.08,0.08,0.09,0.02,0.11,0.09,0.11,Matches,Manchester City,,,,,,,,,,,,,,,,,1.0,4.0,2.0,50.0,0.34,0.17,0.25,0.5,15.9,0.0,0.0,0.0,1.0,1.0,0.26,0.0,0.0,781,839,93.1,12375,2872,402,426,94.4,322,335,96.1,41,54,75.9,0,0.2,0.4,-0.2,6,53,1,0,57
Jack Grealish,eng ENG,"FW,MF",27.0,20.0,10,1009.0,11.2,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,2.1,2.1,2.5,4.6,87.0,50.0,146.0,0.27,0.09,0.36,0.27,0.36,0.19,0.22,0.41,0.19,0.41,Matches,Manchester City,,,,,,,,,,,,,,,,,3.0,22.0,5.0,22.7,1.96,0.45,0.14,0.6,16.1,0.0,0.0,0.0,2.1,2.1,0.09,0.9,0.9,499,580,86.0,7032,1069,302,329,91.8,156,174,89.7,23,32,71.9,1,2.5,2.8,-1.5,26,15,25,0,50
Rico Lewis,eng ENG,"DF,MF",18.0,16.0,8,809.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.8,21.0,33.0,46.0,0.22,0.0,0.22,0.22,0.22,0.07,0.12,0.19,0.07,0.19,Matches,Manchester City,,,,,,,,,,,,,,,,,2.0,5.0,4.0,80.0,0.56,0.44,0.4,0.5,15.5,0.0,0.0,0.0,0.6,0.6,0.13,1.4,1.4,518,568,91.2,7100,1127,339,351,96.6,159,170,93.5,12,20,60.0,0,1.1,1.2,-1.1,13,29,9,0,33
Matheus Nunes,pt POR,MF,24.0,17.0,7,661.0,7.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.1,2.0,28.0,34.0,58.0,0.0,0.27,0.27,0.0,0.27,0.11,0.15,0.27,0.11,0.27,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,9.0,4.0,44.4,1.23,0.54,0.0,0.0,17.9,0.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,373,443,84.2,5054,783,233,255,91.4,115,133,86.5,11,23,47.8,2,1.1,1.5,+0.9,9,23,16,2,34
Stefan Ortega,de GER,GK,30.0,9.0,5,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,,7.0,0.99,27.0,20.0,74.1,4.0,1.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,213,266,80.1,4942,3526,58,58,100.0,108,110,98.2,46,96,47.9,0,0.0,0.0,0.0,0,2,0,0,0
Oscar Bobb,no NOR,"FW,MF",20.0,14.0,2,302.0,3.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,1.2,2.6,13.0,25.0,38.0,0.3,0.3,0.6,0.3,0.6,0.41,0.37,0.78,0.41,0.78,Matches,Manchester City,,,,,,,,,,,,,,,,,1.0,4.0,1.0,25.0,1.19,0.3,0.25,1.0,11.1,0.0,0.0,0.0,1.4,1.4,0.35,-0.4,-0.4,155,177,87.6,2056,478,101,107,94.4,44,51,86.3,4,4,100.0,1,1.2,1.3,-0.2,9,3,19,1,25
Kalvin Phillips,eng ENG,MF,27.0,4.0,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,1.94,0.0,0.0,,21.7,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,62,70,88.6,1067,300,31,32,96.9,24,26,92.3,7,10,70.0,0,0.0,0.1,0.0,0,8,1,1,7
Sergio Gómez,es ESP,"FW,MF",22.0,6.0,0,53.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,4.0,2.0,4.0,0.0,1.7,1.7,0.0,1.7,0.41,0.31,0.73,0.41,0.73,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,3.4,0.0,0.0,,15.4,0.0,0.0,0.0,0.2,0.2,0.12,-0.2,-0.2,46,54,85.2,636,97,29,31,93.5,15,17,88.2,1,2,50.0,1,0.2,0.2,+0.8,1,1,2,1,2
Aymeric Laporte,es ESP,DF,29.0,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,1.0,1.0,100.0,7.5,7.5,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,11,11,100.0,202,48,4,4,100.0,7,7,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Cole Palmer,eng ENG,MF,21.0,1.0,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4,5,80.0,51,0,2,2,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
James Mcatee,eng ENG,MF,20.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Scott Carson,eng ENG,GK,37.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micah Hamilton,eng ENG,MF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Máximo Perrone,ar ARG,MF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahamadou Susoho,es ESP,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Wright,eng ENG,MF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Saliba,fr FRA,DF,22.0,38.0,38,3420.0,38.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,0.2,1.8,16.0,157.0,6.0,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05,Matches,Arsenal,,,,,,,,,,,,,,,,,2.0,10.0,3.0,30.0,0.26,0.08,0.2,0.67,10.5,0.0,0.0,0.0,1.6,1.6,0.16,0.4,0.4,2635,2851,92.4,43599,15948,1202,1274,94.3,1298,1373,94.5,104,150,69.3,1,0.2,0.9,+0.8,6,175,6,1,157
Declan Rice,eng ENG,MF,24.0,38.0,37,3225.0,35.8,7.0,8.0,15.0,7.0,0.0,0.0,5.0,0.0,3.3,3.3,5.3,8.6,75.0,278.0,64.0,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,Matches,Arsenal,,,,,,,,,,,,,,,,,7.0,58.0,20.0,34.5,1.62,0.56,0.12,0.35,20.4,2.0,0.0,0.0,3.3,3.3,0.06,3.7,3.7,2041,2295,88.9,34242,9378,958,1031,92.9,910,975,93.3,137,210,65.2,8,5.3,4.8,+2.7,47,240,39,2,278
Martin Ødegaard,no NOR,MF,24.0,35.0,35,3091.0,34.3,8.0,10.0,18.0,6.0,2.0,2.0,2.0,0.0,7.4,5.8,9.6,15.5,91.0,344.0,202.0,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.5,0.17,0.45,Matches,Arsenal,,,,,,,,,,,,,,,,,8.0,75.0,21.0,28.0,2.18,0.61,0.08,0.29,20.2,4.0,2.0,2.0,7.4,5.8,0.08,0.6,0.2,1692,2006,84.3,25780,7898,907,992,91.4,635,744,85.3,91,140,65.0,10,9.6,11.2,+0.4,102,160,130,13,344
Ben White,eng ENG,DF,25.0,37.0,35,2988.0,33.2,4.0,4.0,8.0,4.0,0.0,0.0,8.0,0.0,1.2,1.2,3.8,5.0,44.0,192.0,162.0,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15,Matches,Arsenal,,,,,,,,,,,,,,,,,4.0,13.0,6.0,46.2,0.39,0.18,0.31,0.67,13.2,0.0,0.0,0.0,1.2,1.2,0.09,2.8,2.8,1828,2177,84.0,28002,9801,999,1099,90.9,713,832,85.7,85,171,49.7,4,3.8,3.7,+0.2,38,172,45,10,192
Bukayo Saka,eng ENG,FW,21.0,35.0,35,2919.0,32.4,16.0,9.0,25.0,10.0,6.0,6.0,4.0,0.0,15.5,10.8,10.5,21.2,155.0,126.0,508.0,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,Matches,Arsenal,,,,,,,,,,,,,,,,,16.0,102.0,31.0,30.4,3.14,0.96,0.1,0.32,16.3,0.0,6.0,6.0,15.5,10.8,0.11,0.5,-0.8,1143,1512,75.6,16891,4402,705,793,88.9,331,427,77.5,80,183,43.7,9,10.5,11.0,-1.5,91,39,73,12,126
Gabriel Magalhães,br BRA,DF,25.0,36.0,34,3044.0,33.8,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.3,4.3,0.7,5.0,13.0,117.0,8.0,0.12,0.0,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15,Matches,Arsenal,,,,,,,,,,,,,,,,,4.0,31.0,10.0,32.3,0.92,0.3,0.13,0.4,7.9,0.0,0.0,0.0,4.3,4.3,0.14,-0.3,-0.3,1914,2157,88.7,32123,10388,841,885,95.0,942,1013,93.0,108,199,54.3,0,0.7,0.7,-0.7,3,143,9,1,117
David Raya,es ESP,GK,27.0,32.0,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal,,24.0,0.75,69.0,45.0,68.1,23.0,4.0,5.0,16.0,50.0,3.0,2.0,1.0,0.0,33.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,800,1068,74.9,19691,14108,228,231,98.7,387,391,99.0,183,439,41.7,0,0.0,0.1,0.0,0,30,0,0,2
Kai Havertz,de GER,"MF,FW",24.0,37.0,30,2634.0,29.3,13.0,7.0,20.0,12.0,1.0,1.0,11.0,0.0,12.3,11.6,4.4,15.9,55.0,99.0,191.0,0.44,0.24,0.68,0.41,0.65,0.42,0.15,0.57,0.39,0.54,Matches,Arsenal,,,,,,,,,,,,,,,,,13.0,68.0,27.0,39.7,2.32,0.92,0.18,0.44,12.4,0.0,1.0,1.0,12.3,11.6,0.17,0.7,0.4,764,955,80.0,9583,2405,525,609,86.2,195,245,79.6,7,15,46.7,7,4.4,4.3,+2.6,46,65,29,1,99
Gabriel Martinelli,br BRA,FW,22.0,35.0,24,2019.0,22.4,6.0,4.0,10.0,6.0,0.0,0.0,1.0,0.0,6.8,6.8,6.1,12.9,127.0,65.0,345.0,0.27,0.18,0.45,0.27,0.45,0.31,0.27,0.58,0.31,0.58,Matches,Arsenal,,,,,,,,,,,,,,,,,6.0,58.0,20.0,34.5,2.59,0.89,0.1,0.3,15.6,0.0,0.0,0.0,6.8,6.8,0.12,-0.8,-0.8,724,929,77.9,11003,2008,424,490,86.5,237,292,81.2,47,85,55.3,4,6.1,5.2,-2.1,46,22,33,7,65
Oleksandr Zinchenko,ua UKR,DF,26.0,27.0,20,1722.0,19.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,2.5,3.1,40.0,229.0,58.0,0.05,0.1,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16,Matches,Arsenal,,,,,,,,,,,,,,,,,1.0,17.0,3.0,17.6,0.89,0.16,0.06,0.33,24.0,0.0,0.0,0.0,0.6,0.6,0.03,0.4,0.4,1374,1568,87.6,23132,6928,653,706,92.5,601,667,90.1,95,134,70.9,2,2.5,2.9,-0.5,29,154,49,4,229
Leandro Trossard,be BEL,"FW,MF",28.0,34.0,18,1649.0,18.3,12.0,1.0,13.0,12.0,0.0,0.0,2.0,0.0,7.9,7.9,2.8,10.7,66.0,76.0,155.0,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,Matches,Arsenal,,,,,,,,,,,,,,,,,12.0,60.0,22.0,36.7,3.27,1.2,0.2,0.55,16.1,0.0,0.0,0.0,7.9,7.9,0.13,4.1,4.1,494,673,73.4,7666,1927,271,315,86.0,181,241,75.1,31,60,51.7,1,2.8,3.2,-1.8,24,28,29,4,76
Gabriel Jesus,br BRA,FW,26.0,27.0,17,1478.0,16.4,4.0,5.0,9.0,4.0,0.0,0.0,6.0,0.0,6.3,6.3,3.8,10.1,38.0,42.0,155.0,0.24,0.3,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62,Matches,Arsenal,,,,,,,,,,,,,,,,,4.0,55.0,19.0,34.5,3.35,1.16,0.07,0.21,12.2,0.0,0.0,0.0,6.3,6.3,0.12,-2.3,-2.3,403,513,78.6,5315,971,259,306,84.6,111,140,79.3,10,16,62.5,5,3.8,3.2,+1.2,29,18,19,1,42
Jakub Kiwior,pl POL,DF,23.0,20.0,11,946.0,10.5,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,1.7,4.0,55.0,16.0,0.1,0.29,0.38,0.1,0.38,0.08,0.09,0.16,0.08,0.16,Matches,Arsenal,,,,,,,,,,,,,,,,,1.0,6.0,2.0,33.3,0.57,0.19,0.17,0.5,13.8,0.0,0.0,0.0,0.8,0.8,0.14,0.2,0.2,523,625,83.7,8555,3042,270,303,89.1,214,249,85.9,34,58,58.6,3,0.9,0.6,+2.1,6,43,8,3,55
Takehiro Tomiyasu,jp JPN,DF,24.0,22.0,10,1149.0,12.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.5,1.5,0.4,1.9,17.0,72.0,37.0,0.16,0.08,0.23,0.16,0.23,0.12,0.03,0.15,0.12,0.15,Matches,Arsenal,,,,,,,,,,,,,,,,,2.0,17.0,3.0,17.6,1.33,0.23,0.12,0.67,14.9,0.0,0.0,0.0,1.5,1.5,0.09,0.5,0.5,574,697,82.4,8941,2520,306,342,89.5,229,267,85.8,27,56,48.2,1,0.4,0.8,+0.6,6,60,10,3,72
Eddie Nketiah,eng ENG,FW,24.0,27.0,10,1082.0,12.0,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,4.5,4.5,0.8,5.4,22.0,20.0,77.0,0.42,0.17,0.58,0.42,0.58,0.38,0.07,0.45,0.38,0.45,Matches,Arsenal,,,,,,,,,,,,,,,,,5.0,38.0,12.0,31.6,3.16,1.0,0.13,0.42,12.7,0.0,0.0,0.0,4.5,4.5,0.12,0.5,0.5,168,215,78.1,2332,267,98,118,83.1,60,72,83.3,3,4,75.0,2,0.8,0.7,+1.2,9,7,5,0,20
Jorginho,it ITA,MF,31.0,24.0,10,921.0,10.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.4,1.5,8.0,101.0,8.0,0.0,0.2,0.2,0.0,0.2,0.01,0.13,0.14,0.01,0.14,Matches,Arsenal,,,,,,,,,,,,,,,,,0.0,4.0,0.0,0.0,0.39,0.0,0.0,,24.6,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,699,785,89.0,11386,3439,360,380,94.7,280,310,90.3,45,59,76.3,2,1.4,2.1,+0.6,10,81,25,1,101
Thomas Partey,gh GHA,"MF,DF",30.0,14.0,9,788.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,15.0,72.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches,Arsenal,,,,,,,,,,,,,,,,,0.0,8.0,2.0,25.0,0.91,0.23,0.0,0.0,20.7,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,570,636,89.6,9177,2564,298,321,92.8,224,243,92.2,37,54,68.5,0,0.3,0.6,-0.3,6,61,14,2,72
