Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Team,MP.1,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Expected_Ast,Expected_xAG,Expected_xA,Expected_A-xAG,Expected_KP,Expected_1/3,Expected_PPA,Expected_CrsPA,Expected_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err
Rodri,es ESP,MF,27.0,34.0,34,2931.0,32.6,8.0,9.0,17.0,8.0,0.0,0.0,8.0,1.0,4.1,4.1,3.9,8.0,76.0,376.0,55.0,0.25,0.28,0.52,0.25,0.52,0.12,0.12,0.24,0.12,0.24,Matches,Manchester City,,,,,,,,,,,,,,,,,8.0,62.0,22.0,35.5,1.9,0.68,0.13,0.36,20.6,0.0,0.0,0.0,4.1,4.1,0.07,3.9,3.9,3365.0,3656.0,92.0,57256.0,15766.0,1676.0,1774.0,94.5,1273.0,1360.0,93.6,340.0,401.0,84.8,9.0,3.9,6.1,5.1,49.0,378.0,61.0,0.0,376.0,3572.0,79.0,69.0,15.0,36.0,12.0,6.0,3.0,0.0,0.0,0.0,3365.0,5.0,22.0,157.0,4.82,130.0,2.0,8.0,5.0,6.0,6.0,23.0,0.71,17.0,0.0,3.0,1.0,1.0,1.0,70,43,25,33,12,29,60,48.3,31,32,8,24,26,96,41,4
Phil Foden,eng ENG,"FW,MF",23.0,35.0,33,2857.0,31.7,19.0,8.0,27.0,19.0,0.0,0.0,2.0,0.0,10.3,10.3,8.4,18.7,93.0,168.0,269.0,0.6,0.25,0.85,0.6,0.85,0.33,0.26,0.59,0.33,0.59,Matches,Manchester City,,,,,,,,,,,,,,,,,19.0,105.0,48.0,45.7,3.31,1.51,0.18,0.4,18.5,4.0,0.0,0.0,10.3,10.3,0.1,8.7,8.7,1511.0,1767.0,85.5,20347.0,3769.0,990.0,1053.0,94.0,388.0,449.0,86.4,68.0,135.0,50.4,8.0,8.4,6.9,-0.4,73.0,71.0,57.0,5.0,168.0,1684.0,79.0,19.0,15.0,6.0,89.0,4.0,50.0,26.0,14.0,0.0,1511.0,4.0,49.0,144.0,4.54,111.0,9.0,9.0,6.0,8.0,1.0,21.0,0.66,16.0,1.0,1.0,0.0,3.0,0.0,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1
Ederson,br BRA,GK,29.0,33.0,33,2785.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,,27.0,0.87,82.0,56.0,70.7,24.0,6.0,3.0,10.0,30.3,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1077.0,1234.0,87.3,25898.0,17578.0,275.0,276.0,99.6,560.0,570.0,98.2,239.0,381.0,62.7,0.0,0.1,0.1,-0.1,1.0,25.0,1.0,0.0,4.0,1077.0,157.0,43.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.0,0.0,1.0,7.0,0.23,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,10,1
Julián Álvarez,ar ARG,"MF,FW",23.0,36.0,31,2647.0,29.4,11.0,8.0,19.0,9.0,2.0,2.0,2.0,0.0,13.0,11.5,6.4,17.9,64.0,103.0,180.0,0.37,0.27,0.65,0.31,0.58,0.44,0.22,0.66,0.39,0.61,Matches,Manchester City,,,,,,,,,,,,,,,,,11.0,96.0,37.0,38.5,3.26,1.26,0.09,0.24,17.8,13.0,2.0,2.0,13.0,11.5,0.12,-2.0,-2.5,1011.0,1258.0,80.4,13977.0,2992.0,615.0,679.0,90.6,272.0,328.0,82.9,58.0,145.0,40.0,8.0,6.4,6.3,1.6,67.0,43.0,41.0,4.0,103.0,1069.0,185.0,25.0,9.0,1.0,137.0,7.0,129.0,44.0,36.0,2.0,1011.0,4.0,27.0,118.0,4.01,74.0,28.0,4.0,10.0,2.0,0.0,15.0,0.51,12.0,1.0,0.0,0.0,2.0,0.0,24,13,5,8,11,8,32,25.0,24,30,0,30,2,26,14,1
Kyle Walker,eng ENG,DF,33.0,32.0,30,2767.0,30.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.6,3.0,74.0,157.0,172.0,0.0,0.13,0.13,0.0,0.13,0.01,0.09,0.1,0.01,0.1,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,16.0,3.0,18.8,0.52,0.1,0.0,0.0,29.4,1.0,0.0,0.0,0.4,0.4,0.02,-0.4,-0.4,2128.0,2404.0,88.5,36091.0,8306.0,992.0,1057.0,93.9,932.0,1020.0,91.4,166.0,246.0,67.5,4.0,2.6,3.2,1.4,25.0,199.0,32.0,13.0,157.0,2162.0,241.0,33.0,6.0,20.0,59.0,208.0,0.0,0.0,0.0,0.0,2128.0,1.0,31.0,62.0,2.02,57.0,1.0,1.0,1.0,2.0,0.0,11.0,0.36,9.0,0.0,1.0,1.0,0.0,0.0,38,24,19,17,2,19,39,48.7,20,19,6,13,27,65,40,1
Bernardo Silva,pt POR,"MF,FW",28.0,33.0,29,2578.0,28.6,6.0,9.0,15.0,6.0,0.0,0.0,8.0,0.0,3.7,3.7,7.6,11.3,140.0,177.0,260.0,0.21,0.31,0.52,0.21,0.52,0.13,0.27,0.4,0.13,0.4,Matches,Manchester City,,,,,,,,,,,,,,,,,6.0,34.0,15.0,44.1,1.19,0.52,0.18,0.4,15.9,0.0,0.0,0.0,3.7,3.7,0.11,2.3,2.3,1671.0,1936.0,86.3,25138.0,5246.0,993.0,1052.0,94.4,534.0,620.0,86.1,106.0,158.0,67.1,9.0,7.6,8.0,1.4,64.0,100.0,49.0,10.0,177.0,1831.0,99.0,40.0,2.0,7.0,83.0,23.0,21.0,10.0,0.0,0.0,1671.0,6.0,37.0,130.0,4.54,117.0,3.0,6.0,1.0,3.0,0.0,13.0,0.45,11.0,0.0,2.0,0.0,0.0,0.0,51,23,13,25,13,25,57,43.9,32,32,4,28,17,68,15,1
Erling Haaland,no NOR,FW,23.0,31.0,29,2552.0,28.4,27.0,5.0,32.0,20.0,7.0,8.0,1.0,0.0,29.2,22.9,4.3,27.2,35.0,26.0,126.0,0.95,0.18,1.13,0.71,0.88,1.03,0.15,1.18,0.81,0.96,Matches,Manchester City,,,,,,,,,,,,,,,,,27.0,113.0,50.0,44.2,3.99,1.76,0.18,0.4,11.9,1.0,7.0,8.0,29.2,22.9,0.2,-2.2,-2.9,295.0,388.0,76.0,3234.0,567.0,197.0,242.0,81.4,56.0,70.0,80.0,5.0,8.0,62.5,5.0,4.3,2.2,0.7,29.0,16.0,11.0,0.0,26.0,375.0,12.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,295.0,1.0,17.0,59.0,2.08,39.0,0.0,3.0,10.0,6.0,1.0,11.0,0.39,5.0,0.0,1.0,3.0,2.0,0.0,6,3,0,3,3,2,3,66.7,1,11,1,10,2,8,16,0
Rúben Dias,pt POR,DF,26.0,30.0,28,2559.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.3,1.7,34.0,173.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,20.0,8.0,40.0,0.7,0.28,0.0,0.0,15.2,0.0,0.0,0.0,1.4,1.4,0.07,-1.4,-1.4,2469.0,2635.0,93.7,42764.0,13568.0,1039.0,1076.0,96.6,1256.0,1306.0,96.2,146.0,204.0,71.6,0.0,0.3,1.9,-0.3,7.0,220.0,12.0,3.0,173.0,2567.0,65.0,46.0,2.0,7.0,13.0,11.0,0.0,0.0,0.0,0.0,2469.0,3.0,8.0,35.0,1.23,28.0,0.0,0.0,5.0,0.0,2.0,4.0,0.14,2.0,0.0,0.0,1.0,0.0,1.0,39,20,14,21,4,19,26,73.1,7,32,17,15,30,69,77,0
Manuel Akanji,ch SUI,"DF,MF",28.0,30.0,28,2511.0,27.9,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,1.9,1.9,0.5,2.4,46.0,148.0,36.0,0.07,0.0,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,Matches,Manchester City,,,,,,,,,,,,,,,,,2.0,15.0,5.0,33.3,0.54,0.18,0.13,0.4,17.0,0.0,0.0,0.0,1.9,1.9,0.13,0.1,0.1,2180.0,2334.0,93.4,35688.0,9787.0,1091.0,1136.0,96.0,923.0,975.0,94.7,126.0,163.0,77.3,0.0,0.5,1.8,-0.5,13.0,214.0,15.0,2.0,148.0,2261.0,71.0,34.0,4.0,15.0,9.0,27.0,0.0,0.0,0.0,0.0,2180.0,2.0,10.0,55.0,1.97,45.0,1.0,0.0,3.0,2.0,4.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,42,28,16,18,8,22,39,56.4,17,28,12,16,23,65,70,3
Joško Gvardiol,hr CRO,DF,21.0,28.0,26,2328.0,25.9,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,3.1,3.1,1.4,4.5,63.0,136.0,115.0,0.15,0.04,0.19,0.15,0.19,0.12,0.06,0.18,0.12,0.18,Matches,Manchester City,,,,,,,,,,,,,,,,,4.0,32.0,13.0,40.6,1.24,0.5,0.13,0.31,15.6,0.0,0.0,0.0,3.1,3.1,0.1,0.9,0.9,1671.0,1919.0,87.1,25207.0,6169.0,931.0,1010.0,92.2,618.0,695.0,88.9,77.0,107.0,72.0,1.0,1.4,2.1,-0.4,18.0,141.0,16.0,3.0,136.0,1737.0,178.0,28.0,3.0,10.0,33.0,150.0,0.0,0.0,0.0,0.0,1671.0,4.0,38.0,54.0,2.09,40.0,1.0,5.0,2.0,4.0,2.0,7.0,0.27,6.0,0.0,0.0,0.0,1.0,0.0,55,33,21,24,10,21,38,55.3,17,36,12,24,27,82,37,3
Nathan Aké,nl NED,DF,28.0,29.0,24,2042.0,22.7,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,1.2,3.7,24.0,116.0,18.0,0.09,0.09,0.18,0.09,0.18,0.11,0.05,0.16,0.11,0.16,Matches,Manchester City,,,,,,,,,,,,,,,,,2.0,20.0,5.0,25.0,0.88,0.22,0.1,0.4,10.8,0.0,0.0,0.0,2.5,2.5,0.12,-0.5,-0.5,1716.0,1864.0,92.1,26189.0,8717.0,882.0,921.0,95.8,750.0,796.0,94.2,43.0,85.0,50.6,2.0,1.2,1.1,0.8,10.0,148.0,5.0,1.0,116.0,1744.0,118.0,32.0,1.0,3.0,11.0,81.0,0.0,0.0,0.0,0.0,1716.0,2.0,14.0,36.0,1.59,28.0,0.0,2.0,4.0,1.0,1.0,6.0,0.26,3.0,0.0,1.0,2.0,0.0,0.0,26,16,15,8,3,13,20,65.0,7,17,2,15,14,40,54,0
Jeremy Doku,be BEL,"FW,MF",21.0,29.0,18,1595.0,17.7,3.0,8.0,11.0,3.0,0.0,0.0,3.0,0.0,2.5,2.5,4.6,7.1,218.0,57.0,295.0,0.17,0.45,0.62,0.17,0.62,0.14,0.26,0.4,0.14,0.4,Matches,Manchester City,,,,,,,,,,,,,,,,,3.0,55.0,19.0,34.5,3.1,1.07,0.05,0.16,16.4,0.0,0.0,0.0,2.5,2.5,0.05,0.5,0.5,693.0,852.0,81.3,9699.0,1538.0,452.0,507.0,89.2,198.0,254.0,78.0,26.0,33.0,78.8,8.0,4.6,5.9,3.4,45.0,14.0,40.0,7.0,57.0,844.0,8.0,0.0,2.0,2.0,61.0,5.0,3.0,0.0,0.0,0.0,693.0,0.0,34.0,111.0,6.26,82.0,1.0,17.0,6.0,5.0,0.0,15.0,0.85,10.0,0.0,2.0,1.0,2.0,0.0,39,22,13,12,14,9,20,45.0,11,14,0,14,9,48,5,0
Mateo Kovačić,hr CRO,MF,29.0,30.0,16,1551.0,17.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.3,1.3,1.6,2.9,37.0,100.0,38.0,0.06,0.0,0.06,0.06,0.06,0.07,0.09,0.17,0.07,0.17,Matches,Manchester City,,,,,,,,,,,,,,,,,1.0,22.0,5.0,22.7,1.28,0.29,0.05,0.2,20.8,0.0,0.0,0.0,1.3,1.3,0.06,-0.3,-0.3,1435.0,1527.0,94.0,20506.0,4603.0,835.0,862.0,96.9,514.0,544.0,94.5,41.0,57.0,71.9,0.0,1.6,1.9,-1.6,21.0,120.0,15.0,0.0,100.0,1491.0,34.0,24.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1435.0,2.0,10.0,54.0,3.14,47.0,0.0,2.0,4.0,1.0,0.0,6.0,0.35,5.0,0.0,0.0,1.0,0.0,0.0,36,25,16,15,5,18,28,64.3,10,23,1,22,10,46,10,0
Kevin De Bruyne,be BEL,MF,32.0,18.0,15,1221.0,13.6,4.0,10.0,14.0,4.0,0.0,0.0,2.0,0.0,2.4,2.4,11.5,14.0,47.0,111.0,133.0,0.29,0.74,1.03,0.29,1.03,0.18,0.85,1.03,0.18,1.03,Matches,Manchester City,,,,,,,,,,,,,,,,,4.0,44.0,17.0,38.6,3.24,1.25,0.09,0.24,21.4,6.0,0.0,0.0,2.4,2.4,0.05,1.6,1.6,732.0,971.0,75.4,11555.0,3364.0,426.0,481.0,88.6,223.0,293.0,76.1,66.0,134.0,49.3,10.0,11.5,7.1,-1.5,59.0,67.0,56.0,12.0,111.0,840.0,124.0,23.0,11.0,6.0,136.0,24.0,69.0,29.0,16.0,5.0,732.0,7.0,27.0,100.0,7.36,73.0,17.0,2.0,5.0,3.0,0.0,16.0,1.18,12.0,3.0,0.0,0.0,1.0,0.0,14,9,1,5,8,7,20,35.0,13,5,0,5,4,18,4,0
John Stones,eng ENG,"DF,MF",29.0,16.0,12,1064.0,11.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.3,16.0,57.0,24.0,0.08,0.0,0.08,0.08,0.08,0.09,0.02,0.11,0.09,0.11,Matches,Manchester City,,,,,,,,,,,,,,,,,1.0,4.0,2.0,50.0,0.34,0.17,0.25,0.5,15.9,0.0,0.0,0.0,1.0,1.0,0.26,0.0,0.0,781.0,839.0,93.1,12375.0,2872.0,402.0,426.0,94.4,322.0,335.0,96.1,41.0,54.0,75.9,0.0,0.2,0.4,-0.2,6.0,53.0,1.0,0.0,57.0,824.0,15.0,9.0,0.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,781.0,0.0,6.0,23.0,1.95,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0,1,0,3,0.0,3,11,7,4,10,12,21,0
Jack Grealish,eng ENG,"FW,MF",27.0,20.0,10,1009.0,11.2,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,2.1,2.1,2.5,4.6,87.0,50.0,146.0,0.27,0.09,0.36,0.27,0.36,0.19,0.22,0.41,0.19,0.41,Matches,Manchester City,,,,,,,,,,,,,,,,,3.0,22.0,5.0,22.7,1.96,0.45,0.14,0.6,16.1,0.0,0.0,0.0,2.1,2.1,0.09,0.9,0.9,499.0,580.0,86.0,7032.0,1069.0,302.0,329.0,91.8,156.0,174.0,89.7,23.0,32.0,71.9,1.0,2.5,2.8,-1.5,26.0,15.0,25.0,0.0,50.0,560.0,19.0,3.0,3.0,2.0,16.0,11.0,5.0,2.0,0.0,0.0,499.0,1.0,21.0,54.0,4.82,46.0,0.0,1.0,2.0,5.0,0.0,4.0,0.36,4.0,0.0,0.0,0.0,0.0,0.0,13,8,6,7,0,6,12,50.0,6,13,2,11,6,19,5,0
Rico Lewis,eng ENG,"DF,MF",18.0,16.0,8,809.0,9.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.8,21.0,33.0,46.0,0.22,0.0,0.22,0.22,0.22,0.07,0.12,0.19,0.07,0.19,Matches,Manchester City,,,,,,,,,,,,,,,,,2.0,5.0,4.0,80.0,0.56,0.44,0.4,0.5,15.5,0.0,0.0,0.0,0.6,0.6,0.13,1.4,1.4,518.0,568.0,91.2,7100.0,1127.0,339.0,351.0,96.6,159.0,170.0,93.5,12.0,20.0,60.0,0.0,1.1,1.2,-1.1,13.0,29.0,9.0,0.0,33.0,525.0,43.0,9.0,1.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,518.0,0.0,11.0,15.0,1.67,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7,4,4,2,3,7,42.9,4,7,1,6,4,14,6,0
Matheus Nunes,pt POR,MF,24.0,17.0,7,661.0,7.3,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.1,2.0,28.0,34.0,58.0,0.0,0.27,0.27,0.0,0.27,0.11,0.15,0.27,0.11,0.27,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,9.0,4.0,44.4,1.23,0.54,0.0,0.0,17.9,0.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,373.0,443.0,84.2,5054.0,783.0,233.0,255.0,91.4,115.0,133.0,86.5,11.0,23.0,47.8,2.0,1.1,1.5,0.9,9.0,23.0,16.0,2.0,34.0,429.0,14.0,9.0,1.0,1.0,19.0,2.0,3.0,2.0,0.0,0.0,373.0,0.0,12.0,20.0,2.72,16.0,0.0,0.0,1.0,3.0,0.0,3.0,0.41,3.0,0.0,0.0,0.0,0.0,0.0,10,4,1,7,2,5,16,31.3,11,7,1,6,1,11,8,1
Stefan Ortega,de GER,GK,30.0,9.0,5,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,,7.0,0.99,27.0,20.0,74.1,4.0,1.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,213.0,266.0,80.1,4942.0,3526.0,58.0,58.0,100.0,108.0,110.0,98.2,46.0,96.0,47.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,240.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1
Oscar Bobb,no NOR,"FW,MF",20.0,14.0,2,302.0,3.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,1.2,2.6,13.0,25.0,38.0,0.3,0.3,0.6,0.3,0.6,0.41,0.37,0.78,0.41,0.78,Matches,Manchester City,,,,,,,,,,,,,,,,,1.0,4.0,1.0,25.0,1.19,0.3,0.25,1.0,11.1,0.0,0.0,0.0,1.4,1.4,0.35,-0.4,-0.4,155.0,177.0,87.6,2056.0,478.0,101.0,107.0,94.4,44.0,51.0,86.3,4.0,4.0,100.0,1.0,1.2,1.3,-0.2,9.0,3.0,19.0,1.0,25.0,169.0,8.0,3.0,3.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,155.0,0.0,5.0,22.0,6.56,16.0,0.0,4.0,1.0,1.0,0.0,6.0,1.79,3.0,0.0,2.0,0.0,1.0,0.0,7,3,1,2,4,2,4,50.0,2,4,0,4,5,12,1,0
Kalvin Phillips,eng ENG,MF,27.0,4.0,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,1.94,0.0,0.0,,21.7,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,62.0,70.0,88.6,1067.0,300.0,31.0,32.0,96.9,24.0,26.0,92.3,7.0,10.0,70.0,0.0,0.0,0.1,0.0,0.0,8.0,1.0,1.0,7.0,67.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,1.0,1.0,0.98,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,1,1,0,0,,0,0,0,0,2,5,2,0
Sergio Gómez,es ESP,"FW,MF",22.0,6.0,0,53.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,4.0,2.0,4.0,0.0,1.7,1.7,0.0,1.7,0.41,0.31,0.73,0.41,0.73,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,3.4,0.0,0.0,,15.4,0.0,0.0,0.0,0.2,0.2,0.12,-0.2,-0.2,46.0,54.0,85.2,636.0,97.0,29.0,31.0,93.5,15.0,17.0,88.2,1.0,2.0,50.0,1.0,0.2,0.2,0.8,1.0,1.0,2.0,1.0,2.0,52.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,46.0,0.0,1.0,2.0,3.33,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.33,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0
Aymeric Laporte,es ESP,DF,29.0,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,1.0,1.0,100.0,7.5,7.5,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,11.0,11.0,100.0,202.0,48.0,4.0,4.0,100.0,7.0,7.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
Cole Palmer,eng ENG,MF,21.0,1.0,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,5.0,80.0,51.0,0.0,2.0,2.0,100.0,2.0,3.0,66.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
James Mcatee,eng ENG,MF,20.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester City,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Scott Carson,eng ENG,GK,37.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micah Hamilton,eng ENG,MF,19.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Máximo Perrone,ar ARG,MF,20.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahamadou Susoho,es ESP,DF,18.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Wright,eng ENG,MF,17.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
